f,b,bal,at,is,bar,i,d,abr,a,ab,cr,ins,n,v,desce,c,j,je,pa,antepa,pu,pru,descen
,,,,,,,,,,,,,,,,começou,,,,,,,
,,,,,,,,,,,,,negar,,,,,,,,,,
,,,,,,,dizendo,,,,,,,,,,,,,,,,
,,,,,,,,,andam,,,,,,,,,,,,,,
,,,,,,,,,,,,,,vendam,,,,,,,,,
,,,,,,,,,,,,,,véu,,,,,,,,,
,,,,,,,,,,,,,,,,céu,,,,,,,
,,,,,,,,,alguém,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,citando,,,,,,,
,,,,,,,,,,,,,,,,,,,passar,,,,
,,,,,,,,,abram,,,,,,,,,,,,,,
,,,,,,,dadas,,,,,,,,,,,,,,,,
feita,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,camelo,,,,,,,
,,,,,,,,,,,,,,,,cinto,,,,,,,
,,,,,,,,,,,,,,,,couro,,,,,,,
,,,,,,,,,,,,,,,,comia,,,,,,,
,,,,,,,,,,,,,,votos,,,,,,,,,
fores,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,dores,,,,,,,,,,,,,,,,
,,,,,,,,,alta,,,,,,,,,,,,,,
,,,,,,,,,,,,,,volta,,,,,,,,,
,,,,,,,,,adão,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,jordão,,,,,,
,,,,,,,,,,,,,,,,,,,passavam,,,,
,,,,,,,,,,,,,ninhada,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,puras,,
,,,,,,,,,,,,,,,,cobras,,,,,,,
,,,,,,,,,asas,,,,,,,,,,,,,,
,,,,,,,,,,,,,,vocês,,,,,,,,,
farão,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,darão,,,,,,,,,,,,,,,,
,,,,,,,digo,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,castigo,,,,,,,
,,,,,,,,,andar,,,,,,,,,,,,,,
façam,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,coisas,,,,,,,
,,,,,,,,,,,,,,,,,,,pagam,,,,
,,,,,,,digam,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,nosso,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,passado,,,,
,,,,,,,,,assado,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,antepassado,,,
,,,,,,,,,afirmo,,,,,,,,,,,,,,
,,,,,,,destas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,nestas,,,,,,,,,,
festas,,,,,,,,,,,,,,,,,,,,,,,
fazer,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,descendentes
,,,,,,,,,,,,,,,,,,,,,,prudentes,
,,,,,,,,,achado,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,cortar,,,,,,,
fiz,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,diz,,,,,,,,,,,,,,,,
frutas,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,cortada,,,,,,,
,,,,,,,,,,,,,,,,,jogada,,,,,,
fogo,,,,,,,,,,,,,,,,,,,,,,,
,batizo,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,instante,,,,,,,,,,,
,,,,,,ilha,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,palha,,,,
,,,,,,,,,,,,,,valha,,,,,,,,,
falha,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,amará,,,,,,,,,,,,,,
